标记点（置信度）,标记点,x坐标,y坐标,,
joint 0.90,joint ,1848.5,1244,,
upper_leg 0.91,upper_leg ,1677,423,,
lower_leg 0.89,lower_leg ,1601.5,2219,,
joint 0.89,joint ,1794,1254,,
upper_leg 0.92,upper_leg ,1630,420.5,,
lower_leg 0.90,lower_leg ,1582,2223.5,,
joint 0.91,joint ,1753,1260,,
upper_leg 0.91,upper_leg ,1606,419,,
lower_leg 0.90,lower_leg ,1582,2223.5,,
joint 0.91,joint ,1753,1260,,
upper_leg 0.91,upper_leg ,1606,419,,
upper_leg 0.89,upper_leg ,1604.5,408.5,,
joint 0.90,joint ,1748,1264.5,,
lower_leg 0.91,lower_leg ,1585,2234.5,,
lower_leg 0.90,lower_leg ,1592,2237.5,,
joint 0.90,joint ,1757.5,1267.5,,
upper_leg 0.91,upper_leg ,1613.5,409.5,,
lower_leg 0.90,lower_leg ,1598,2239,,
joint 0.91,joint ,1768.5,1265.5,,
upper_leg 0.91,upper_leg ,1625.5,407.5,,
lower_leg 0.89,lower_leg ,1602.5,2237.5,,
joint 0.90,joint ,1773.5,1266,,
upper_leg 0.91,upper_leg ,1633,407.5,,
joint 0.90,joint ,1786,1268,,
lower_leg 0.90,lower_leg ,1607.5,2239,,
upper_leg 0.91,upper_leg ,1641,409.5,,
joint 0.90,joint ,1786,1268,,
lower_leg 0.90,lower_leg ,1607.5,2239,,
upper_leg 0.91,upper_leg ,1641,409.5,,
lower_leg 0.90,lower_leg ,1619,2234.5,,
joint 0.90,joint ,1807.5,1268.5,,
upper_leg 0.91,upper_leg ,1664,414,,
joint 0.90,joint ,1818.5,1269,,
lower_leg 0.91,lower_leg ,1629.5,2230,,
upper_leg 0.91,upper_leg ,1668.5,419,,
joint 0.91,joint ,1818.5,1269,,
lower_leg 0.91,lower_leg ,1629.5,2230,,
upper_leg 0.91,upper_leg ,1668.5,419,,
lower_leg 0.88,lower_leg ,1712.5,2198.5,,
joint 0.92,joint ,1926.5,1251,,
upper_leg 0.92,upper_leg ,1733,427.5,,
lower_leg 0.90,lower_leg ,1867,2193.5,,
upper_leg 0.91,upper_leg ,1803.5,428,,
joint 0.91,joint ,2026.5,1244,,
lower_leg 0.90,lower_leg ,2045,2167,,
joint 0.91,joint ,2137.5,1220,,
upper_leg 0.91,upper_leg ,1861,424.5,,
lower_leg 0.88,lower_leg ,2253,2133,,
joint 0.90,joint ,2258,1179.5,,
upper_leg 0.91,upper_leg ,1940.5,403,,
lower_leg 0.88,lower_leg ,2253,2133,,
joint 0.90,joint ,2258,1179.5,,
upper_leg 0.91,upper_leg ,1940.5,403,,
lower_leg 0.87,lower_leg ,2654.5,2028,,
joint 0.89,joint ,2467.5,1091,,
upper_leg 0.90,upper_leg ,2067,359,,
